NAME, LATITUDE, LONGITUDE, ADDRESS
"토담집",33.2534795702774,126.571673244109,"제주특별자치도 서귀포시 동홍중앙로 31  (동홍동)"
"페를로",33.2567330298804,126.306135218185,"제주특별자치도 서귀포시 안덕면 덕수회관로74번길 33 "
"루브린",33.2723234007331,126.683835038476,"제주특별자치도 서귀포시 남원읍 태위로360번길 46 "
"돈어길",33.2807928230905,126.285370709694,"제주특별자치도 서귀포시 대정읍 중산간서로 2274 "
"오설록",33.3059189405945,126.289374359219,"제주특별자치도 서귀포시 안덕면 신화역사로 15 "
"밀리우",33.323322,126.844501,"제주특별자치도 서귀포시 표선면 민속해안로 537 "
"해미원",33.324982,126.844289,"제주특별자치도 서귀포시 표선면 민속해안로 578-2 "
"다미진",33.325074,126.844119,"제주특별자치도 서귀포시 표선면 민속해안로 578-1 "
"잔물결",33.388061470817,126.229658028,"제주특별자치도 제주시 한림읍 금능길 58-1 "
"함올레",33.3989565025173,126.247193915704,"제주특별자치도 제주시 한림읍 한림로 424-1 "
"마마롱",33.4521567767768,126.439180967033,"제주특별자치도 제주시 애월읍 평화로 2783 "
"이너프",33.4560241058215,126.418981894194,"제주특별자치도 제주시 애월읍 고성8길 33 "
"샤오츠",33.4602975523449,126.929448034221,"제주특별자치도 서귀포시 성산읍 성산등용로17번길 55 "
"윌라라",33.4628904334584,126.932916269112,"제주특별자치도 서귀포시 성산읍 성산중앙로 33 "
"마틸다",33.4656961653475,126.334277144658,"제주특별자치도 제주시 애월읍 고내1길 33 "
"해일리",33.4691169590312,126.935143076579,"제주특별자치도 서귀포시 성산읍 한도로 269-37 "
"상춘재",33.4698865361909,126.545914052162,"제주특별자치도 제주시 중앙로 598 (아라일동)"
"아노드",33.4723830360693,126.546868507561,"제주특별자치도 제주시 인다13길 12  (아라일동)"
"아우스",33.4723830360693,126.546868507561,"제주특별자치도 제주시 인다13길 12  (아라일동)"
"더스푼",33.476097,126.554301,"제주특별자치도 제주시 구남동1길 45 (아라이동)"
"도갈비",33.4765261400995,126.479300826417,"제주특별자치도 제주시 한라대학로 85 (노형동)"
"흑돈가",33.4800554245897,126.473495778004,"제주특별자치도 제주시 한라대학로 11 (노형동)"
"삼다가",33.4807914969251,126.497164259126,"제주특별자치도 제주시 아연로 11  (연동)"
"코시롱",33.480941635064,126.474608934429,"제주특별자치도 제주시 노형1길 12-2 (노형동)"
"어우늘",33.481053,126.504988,"제주특별자치도 제주시 연북로 222 (오라이동)"
"아베끄",33.4824341372855,126.396846966785,"제주특별자치도 제주시 애월읍 애월해안로 960 "
"삼다정",33.484758,126.488706,"제주특별자치도 제주시 노연로 80 (연동)"
"숙성도",33.4850469004095,126.485037987096,"제주특별자치도 제주시 원노형로 41 (노형동)"
"십원향",33.4868429561724,126.48507997337,"제주특별자치도 제주시 원노형로 23 (노형동)"
