PLACE_NAME,LATITUDE,LONGITUDE
일또,33.5032142110811,126.541978052225
제주포차,33.4987157431778,126.529497589671
성태주식회사,33.483749527838,126.48460872255
큰길,33.2858547058086,126.365475527046
카페송키,33.5151413051746,126.520191797349
쪼개쪼개조개구이,33.50256480522,126.546564830384
민스펍,33.4834166533424,126.478100810855
셰프앤서서아이스크림,33.2514431331821,126.50332471421
카페블루탐,33.5311806021232,126.619637673671
게슈탈트커피제주,33.4879521040367,126.708135763003
제주도감주식회사,33.4818625809975,126.509422537784
첨밀밀양고기,33.3247509656521,126.832483087205
한이장식당,33.4994349553674,126.656665366448
제주스,33.5128617760813,126.526909466541
튀메기,33.5097728416156,126.50456104373
이것이국밥이다서귀포점,33.2547541295246,126.558325686477
두갓,33.4646864696473,126.449291982654
탐라요정신제주점,33.4870613093985,126.490859642544
자매정식,33.5012867354537,126.522126898326
세화어머니손맛,33.525758723314,126.854456402964
올레시장에갓더라면,33.247135975229,126.560842737915
관심사,33.5112512670626,126.524578484809
이레해물,33.4354236903002,126.265969849938
프랭크버거제주표선점,33.3269182237792,126.832159738355
피자탑신제주점,33.4842836468458,126.482664969453
해녀세자매,33.4139962279196,126.260654636467
달자카페,33.4836590731949,126.379775593624
제주칼국수장수상회,33.2532177,126.5609945
본도시락제주시청점,33.5021808352692,126.533073061657
굽네치킨화북삼양점,33.5195380318945,126.565518457884
바로덮밥엔바로파스타서귀포점,33.2470256836738,126.569006885076
세븐바,33.4868879214632,126.431430395098
아라중화요리,33.4749133312103,126.540320783822
오늘와인한잔제주시청점,33.4994180548973,126.528280653588
계절식탁시청점,33.4989627825217,126.529617103529
정말맛있는식당,33.5146174598081,126.539159762749
삼이사,33.2469420478654,126.562740199934
가회식당,33.2797286480495,126.718755747551
러스틱앤모어,33.5238019933835,126.856709048205
포차또랑,33.4993360789459,126.529460658085
일구사삼서귀포명동로점,33.2476241757692,126.565196017278
공회당,33.493381746806,126.899833673049
네네치킨안덕점,33.2598839469038,126.360634839243
올래국수서귀포점,33.2470353452377,126.561428156277
초이당,33.2801877974828,126.731203239677
마마칼국수,33.492215354544,126.493258344827
덕제주담다,33.4857801342791,126.427005290467
모메든식당모슬포점,33.2115822529423,126.2559368218
야시장라운지,33.2498283408323,126.562635795372
유명반점,33.2524553540986,126.473699720927
퍼드림식당,33.2545552487849,126.571290574353
은희네해장국중문점,33.2510478970234,126.43167589419
놈놈놈막창과17청춘,33.5000143579851,126.528585951709
화전민촌,33.4510089603789,126.91425370947
최강닭발,33.2570806749725,126.573692111017
흑돼지참숯구이,33.4880492123186,126.48957342114
주식회사하이드어웨이제주애월해안로지점,33.4665194915869,126.333756654884
프랭크버거시청점,33.4981408476051,126.52962951219
먹자,33.4922879090689,126.479977710503
신창해물라면와랑식탁,33.3432296501376,126.17601755132
오른발왼발서귀포점,33.2470777794459,126.564497918753
케렌시아,33.2494965523719,126.61915816269
네네치킨대정점,33.2185793812559,126.251511294924
미풍해장국아라점,33.4746127545227,126.542738164296
에이바우트커피아라초점,33.4764282385213,126.544754472281
신시가지굽네치킨,33.2529964512628,126.510944782485
반올림피자샵,33.2504898081635,126.564494623322
쌍교숯불갈비제주애월점,33.4856467451667,126.391164591329
미풍해장국코스모스점,33.4855055908244,126.496947971811
페리카나한림점,33.4143275696906,126.264888902265
이디야커피연동점,33.4896909582161,126.490327226225
김명자굴국밥성산점,33.4637616387871,126.934055427589
콜로세움,33.4804552611799,126.501688024466
군산식당,33.5030225325824,126.520111130444
기영이숯불두마리치킨제주이도점,33.4891725026668,126.532819219947
쪽갈비야사랑한닭,33.5167729193151,126.579462652476
투썸플레이스제주모슬포점,33.2166683267121,126.252142300582
유월,33.5122621047131,126.527352076855
비비큐영어교육도시점,33.2915471724251,126.284144532404
레이크백제주홀덤펍,33.488012406258,126.491015046708
피자탑성산점,33.4600697275086,126.930266051563
갑순이네,33.2517741035058,126.422796732023
슈퍼보틀,33.4894528571608,126.490987574401
차화술,33.5099236720909,126.532849051006
문희,33.4923128332711,126.544635962123
산방흑돼지순대영어교육도시점,33.2797294191673,126.276757340352
춘부네식당,33.3317876985783,126.798034293428
퍼틴제주,33.4908607757669,126.498883033499
옛날아우내순대외도점,33.4924161785088,126.432588143822
빵집이야기,33.5092832567999,126.536469499524
투다리파워점,33.5147721352544,126.574402788412
스페샬한라점,33.4862581886499,126.474088556515
삼춘네칼국수,33.2867854362612,126.328492074524
오늘무지개시청점,33.497754403481,126.530241763893
마라힐링,33.2229836907279,126.258711994962
삿뽀로우동집별관,33.2493503649128,126.562475820762
털보스협재밀,33.3978584613703,126.242941320064
맨도롱국수집,33.2485220474328,126.559592129192
유화당,33.2451507939094,126.563900361174
아노야2호점,33.253173422779,126.50435863523
베지근,33.4888565439422,126.482605715273
진아구제주점,33.4765351905332,126.480275714278
전철우해장국,33.4818444755498,126.502887580253
순곱이네일도점,33.5025935546634,126.542905763079
동네마당,33.4855248587172,126.495943012342
도마소리쿠킹스튜디오,33.4861829004125,126.415370836994
배고프면,33.5572238164807,126.802793256399
강촌숯불닭갈비도남점,33.4989640064441,126.525257339538
푸드드림,33.5193725374538,126.576779325699
살롱드라방,33.4577975230226,126.348940287264
구공족발,33.4873910238518,126.42964839148
낮갈치밤돼지,33.4716935500783,126.365343822407
오태식해바라기치킨서귀포점,33.2508382448315,126.562709314689
고기대박집우방,33.482410833791,126.482982958177
멍텅구리24시,33.4972812808831,126.526295615115
고려다방,33.2492122779411,126.566271952508
신성,33.4919579963462,126.49916875305
